7zip 25.01-1
libcbor 0.12.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-3
libcgif 0.5.0-1
libcloudproviders 0.4.0-1
libcmis 0.6.2-6
libcolord 1.4.8-1
libconfig 1.8.2-1
libcue 2.3.0-1
libcups 2:2.4.16-1
libcupsfilters 2.1.1-2
libcurl-compat 8.18.0-2
libcurl-gnutls 8.18.0-2
libdaemon 0.14-6
libdatachannel 0.24.0-1
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-2
libdecor 0.2.5-1
libdeflate 1.25-1
libdispatch 6.1-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdom 0.4.2-1
libdovi 3.3.2-1
libdrm 2.4.131-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libe-book 0.1.3-19
libebml 1.4.5-1
libebur128 1.2.6-2
libedataserverui4 3.58.2-2
libedit 20250104_3.1-1
libei 1.5.0-1
libelf 0.194-1
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.13-1
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfabric 2.3.1-1
libfdk-aac 2.0.3-1
libffi 3.5.2-1
libfm-extra 1.4.1-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libftdi 1.5-7
libfyaml 0.9.2-1
libgcrypt 1.11.2-1
libgdiplus 6.2-1
libgdm 49.2-1
libgee 0.20.8-1
libgexiv2 0.14.6-1
libgirepository 1.86.0-1
libgit2 1:1.9.2-1
libglvnd 1.7.0-3
libgme 0.6.4-1
libgnomekbd 1:3.28.1-1
libgoa 3.56.3-1
libgovirt 2:0.3.9-2
libgpg-error 1.58-1
libgsf 1.14.54-1
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgweather-4 4.4.4-3
libgxps 0.3.2-5
libhandy 1.8.3-2
libharu 2.4.5-1
libheif 1.21.1-2
libhubbub 0.3.8-1
libibus 1.5.33-1
libical 3.0.20-3
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-1
libimobiledevice 1.4.0-1
libimobiledevice-glue 1.3.2-1
libinih 61-1
libinput 1.30.1-1
libinstpatch 1.1.7-2
libiptcdata 1.0.5-4
libiscsi 1.20.0-2
libisl 0.27-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libixion 0.20.0-3
libjcat 0.2.5-1
libjpeg-turbo 3.1.2-1
libjpeg6-turbo 1.5.3-3
libjuice 1.7.0-1
libjxl 0.11.1-5
libkdcraw 25.12.0-1
libkexiv2 25.12.0-1
libkeybinder3 0.3.2-5
libksba 1.6.7-2
libkscreen 6.5.4-1
libksysguard 6.5.4-1
liblangtag 0.6.8-1
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-2
libliftoff 0.5.0-1
liblo 1:0.34-1
liblouis 3.36.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsp-r3d-glx-lib 1.2.26-1
libltc 1.3.2-2
libluv 1.51.0-1
libmad 0.15.1b-10
libmakepkg-dropins 18-1
libmalcontent 0.13.1-1
libmanette 0.2.13-1
libmatroska 1.7.1-2
libmaxminddb 1.12.2-2
libmbim 1.34.0-1
libmd 1.1.0-2
libmfx 23.2.2-5
libmicrodns 0.2.0-2
libmikmod 3.3.13-1
libmm-glib 1.24.2-1
libmms 0.6.4-5
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpdclient 2.23-1
libmpeg2 0.5.1-11
libmspack 1:1.11-1
libmspub 0.1.4-18
libmtp 1.1.22-1
libmwaw 0.3.22-3
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnautilus-extension 49.2-1
libnbd 1.24.0-1
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnetfilter_queue 1.0.5-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.68.0-1
libnghttp3 1.14.0-1
libngtcp2 1.19.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.54.3-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.7-2
libnsl 2.0.1-1
libnss_nis 3.4-1
libnumbertext 1.0.11-2
libnvidia-container 1.18.1-1
libnvme 1.16.1-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libomxil-bellagio 0.9.3-5
libopenmpt 0.8.4-1
liborcus 0.21.0-2
libosinfo 1.12.0-2
libotf 0.9.16-6
libp11-kit 0.25.10-2
libpagemaker 0.0.4-4
libpaper 2.2.7-1
libparserutils 0.2.5-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libphonenumber 1:9.0.21-1
libpipeline 1.5.8-1
libpipewire 1:1.4.9-2
libplacebo 7.351.0-4
libplasma 6.5.4-1
libplist 2.7.0-1
libpng 1.6.53-1
libpng12 1.2.59-2
libportal 0.9.1-2
libportal-gtk4 0.9.1-2
libportal-qt6 0.9.1-2
libppd 2.1.1-1
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.8.2-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libqxp 0.0.2-14
libraqm 0.10.3-1
libratbag 0.18-1
libraw 0.21.5-1
libraw1394 2.1.2-4
libre-graph-api 1.0.4-3
libreoffice-still 25.2.7-4
librest 0.10.2-1
librevenge 0.0.5-3
librsvg 2:2.61.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsass 3.6.6-1
libsbsms 2.3.0-5
libscanmem 0.17-10
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsidplayfp 2.16.0-1
libsigc++ 2.12.1-2
libsigc++-3.0 3.8.0-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.20-1
libsoup 2.74.3-4
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspeechd 0.12.1-2
libspiro 1:20240903-1
libspnav 1.2-1
libspng 0.7.4-2
libsrtp 1:2.7.0-1
libssh 0.11.3-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsvgtiny 0.1.8-1
libsysprof-capture 49.0-1
libtar 1.2.20-7
libtasn1 4.20.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.1-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.0-1
libtorrent-rasterbar 1:2.0.11-5
libtraceevent 1:1.8.7-1
libtracefs 1.8.3-1
libudev0-shim 2-2
libunibreak 6.1-1
libuninameslist 20240910-1
libunistring 1.3-1
libunwind 1.8.2-1
libupnp 1.14.25-1
liburcu 0.15.5-1
liburing 2.13-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-2
libuv 1.51.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvips 8.18.0-1
libvirt 1:11.10.0-1
libvirt-dbus 1.4.1-4
libvirt-glib 5.0.0-3
libvirt-python 1:11.10.0-1
libvisio 0.1.10-2
libvlc 3.0.21-32
libvorbis 1.3.7-4
libvpl 2.16.0-1
libvpx 1.15.2-2
libvterm 0.3.3-2
libwacom 2.17.0-1
libwapcaplet 0.4.3-3
libwbclient 2:4.23.4-1
libwebp 1.6.0-2
libwireplumber 0.5.13-1
libwmf 0.2.13-4
libwpd 0.10.3-5
libwpe 1.16.3-1
libwps 0.4.14-3
libx11 1.8.12-2
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdg-basedir 1.2.3-2
libxdmcp 1.1.5-1
libxdp 1.5.8-1
libxext 1.3.6-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.1.3-1
libxklavier 5.4-7
libxml2 2.15.1-4
libxmlb 0.3.24-1
libxmu 1.2.1-1
libxnvctrl 590.48.01-1
libxpm 3.5.17-2
libxpresent 1.0.2-1
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-1
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-19
licenses 20240728-1
lightdm 1:1.32.0-6
lightdm-gtk-greeter 1:2.0.9-1
lilv 0.26.2-1
linux 6.18.3.arch1-1
linux-api-headers 6.17-1
linux-firmware 20251125-2
linux-firmware-amdgpu 20251125-2
linux-firmware-atheros 20251125-2
linux-firmware-broadcom 20251125-2
linux-firmware-cirrus 20251125-2
linux-firmware-intel 20251125-2
linux-firmware-mediatek 20251125-2
linux-firmware-nvidia 20251125-2
linux-firmware-other 20251125-2
linux-firmware-radeon 20251125-2
linux-firmware-realtek 20251125-2
linux-firmware-whence 20251125-2
linux-headers 6.18.3.arch1-1
liquidctl 1.15.0-2
lksctp-tools 1.0.21-1
lld 21.1.6-1
llhttp 9.2.1-2
llvm 21.1.6-1
llvm-libs 21.1.6-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
localsearch 3.10.2-1
log4cplus 2.1.0-2
lolcat 100.0.1-5
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lshw B.02.20-1
lsof 4.99.5-2
lsp-plugins 1.2.26-1
lsp-plugins-clap 1.2.26-1
lsp-plugins-gst 1.2.26-1
lsp-plugins-ladspa 1.2.26-1
lsp-plugins-lv2 1.2.26-1
lsp-plugins-standalone 1.2.26-1
lsp-plugins-vst 1.2.26-1
lsp-plugins-vst3 1.2.26-1
lua 5.4.8-2
lua51-lpeg 1.1.0-4
lua52 5.2.4-8
lua53 5.3.6-4
luajit 2.1.1765228720+7152e15-1
luit 20250912-1
lutris 0.5.19-6
lv2 1.18.10-2
lvm2 2.03.38-1
lxappearance 0.6.4-2
lz4 1:1.10.0-2
lzo 2.10-5
m17n-db 1.8.10-1
m17n-lib 1.8.6-1
m4 1.4.20-1
mailcap 2.1.54-2
maim 5.8.1-3
make 4.4.1-2
mallard-ducktype 1.0.2-12
man-db 2.13.1-1
man-pages 6.16-1
mangohud-git 0.8.1.r77.g7edd28c-1
manifold 3.3.2-1
mariadb-clients 12.1.2-1
mariadb-libs 12.1.2-1
materialx 1.39.4-2
mbedtls 3.6.5-1
mbedtls2 2.28.10-1
md4c 0.5.2-1
mda.lv2 1.2.10-2
mdadm 4.4-2
med-openmpi 5.0.0-4
media-player-info 26-1
menu-cache 1.1.1-2
mercurial 7.1.2-1
mesa 1:25.3.3-1
mesa-demos 9.0.0-7
mesa-utils 9.0.0-7
meson 1.10.0-1
milou 6.5.4-1
minecraft-launcher 1:2.1.3-3
minecraft-launcher-debug 1:1.0.1221-3
minicom 2.10-1
minizip 1:1.3.1-2
minizip-ng 4.0.10-1
mitmproxy 12.2.1-1
mjpegtools 2.2.1-3
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modrinth-app-bin 0.10.24-1
mokutil 0.7.2-2
mono 6.12.0.206-1
mousetrap 3.0.5-1
mpc 0.35-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.41.0-2
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtr 0.96-1
mujs 1.3.8-1
mullvad-vpn-bin 2025.14-1
mullvad-vpn-debug 2024.5-2
multimc-bin 0.7.0.4233-1
multipath-tools 0.13.0-1
muparser 2.3.5-1
mutter 49.2-1
mypaint-brushes1 1.3.1-2
nano 8.7-1
nanobind 2.10.2-1
nautilus 49.2-1
nautilus-open-any-terminal 0.7.0-1
nautilus-python 4.1.0-1
nbtexplorer-bin 2.8.0-3
ncdu 2.9.2-1
ncmpcpp 0.10.1-6
ncurses 6.5-4
ndctl 79-1
neofetch 7.1.0-2
neon 0.36.0-1
neovim 0.11.5-1
net-snmp 5.9.4-7
net-tools 2.10-3
netcdf 4.9.3-4
netpbm 10.86.48-1
netstandard-targeting-pack 1:2.1.0-2
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
networkmanager-dmenu-git r201.6ad647e-1
networkmanager-openvpn 1.12.5-1
networkmanager-vpn-plugin-openvpn 1.12.5-1
nftables 1:1.1.6-1
nginx 1.28.1-1
ninja 1.13.2-1
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
nmap 7.98-3
node-gyp 12.1.0-1
nodejs 25.2.1-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2026.01.01-1
noto-fonts-emoji 1:2.051-1
npm 11.7.0-1
npth 1.8-1
nspr 4.38.2-1
nss 3.119.1-1
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
nvibrant-bin 1.1.0-1
nvidia-container-toolkit 1.18.1-1
nvidia-open-dkms 590.48.01-1
nvidia-settings 590.48.01-1
nvidia-utils 590.48.01-1
nvm 0.40.3-1
nvtop 3.2.0-1
nwg-dock-hyprland 0.4.8-4
nwg-look 1.0.6-1
obs-studio 32.0.2-2
ocean-sound-theme 6.5.4-1
ocl-icd 2.3.4-1
oneko 1.2.5-6
oneko-debug 1.2.5-5
onetbb 2022.3.0-2
oniguruma 6.9.10-1
openal 1.25.0-1
openbsd-netcat 1.234_1-1
opencascade 1:7.9.3-1
opencl-nvidia 590.48.01-1
opencolorio 2.5.0-1
opencore-amr 0.1.6-2
openexr 3.4.4-1
openh264 2.6.0-1
openimagedenoise 2.3.3-3
openimageio 3.1.8.0-1
openjpeg2 2.5.4-1
openmpi 5.0.9-2
openpgl 0.7.1-1
openpmix 5.0.9-1
openrgb-bin 0.9-3
openrgb-plugin-effects-git 0.9.80.g9e2b37e-1
openrgb-plugin-effects-git-debug 0.9.r28.g3dda623-1
openshadinglanguage 1.14.8.0-1
openssh 10.2p1-2
openssl 3.6.0-1
openssl-1.1 1.1.1.w-2
opensubdiv 3.7.0-1
openucx 1.19.1-1
openvdb 12.1.1-2
openvpn 2.6.17-1
openxr 1.1.54-1
opus 1.6-1
opusfile 0.12-4
orc 0.4.41-1
osinfo-db 20251212-1
ostree 2025.7-1
owncloud-client 6.0.2.17506-2
p11-kit 0.25.10-2
pacman 7.1.0.r7.gb9f7d4a-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20251021-1
pacseek 1.8.6-1
pahole 1:1.31-1
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
papirus-icon-theme 20250501-1
parallel 20251222-1
parted 3.6-2
paru-bin 2.1.0-1
paru-bin-debug 2.0.4-3
passim 0.1.10-1
patch 2.8-1
patchelf 0.18.0-4
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
peek 1.5.1-4
perl 5.42.0-1
perl-alien-build 2.84-4
perl-alien-libxml2 0.20-5
perl-capture-tiny 0.50-4
perl-clone 0.47-2
perl-curses 1.45-3
perl-dbi 1.647-2
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-ffi-checklib 0.31-8
perl-file-chdir 0.1011-6
perl-file-listing 6.16-6
perl-file-which 1.27-8
perl-html-parser 3.83-2
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.16-6
perl-http-date 6.06-5
perl-http-message 7.01-2
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-json 4.10-2
perl-libwww 6.81-2
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-charset 1.013.1-6
perl-net-http 6.24-2
perl-path-tiny 0.150-2
perl-term-animation 2.6-14
perl-timedate 2.33-9
perl-try-tiny 0.32-4
perl-unicode-linebreak 2019.001-9
perl-uri 5.34-2
perl-www-robotrules 6.02-16
perl-xml-libxml 2.0210-4
perl-xml-namespacesupport 1.12-6
perl-xml-parser 2.47-3
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
perl-yaml-tiny 1.76-3
phodav 3.0-4
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
physfs 3.2.0-5
physlock 13-5
picocom 3.1-3
picom 12.5-3
pinentry 1.3.2-2
piper 0.8-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
pkgfile 25-1
plasma-activities 6.5.4-1
plasma-activities-stats 6.5.4-1
plasma-desktop 6.5.4-1
plasma-integration 6.5.4-1
plasma-workspace 6.5.4-1
plasma5support 6.5.4-1
playerctl 2.4.1-5
plocate 1.1.23-1
plymouth 24.004.60-14
plymouth-theme-archlinux 1.1-1
po4a 0.74-1
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.5.4-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
polybar 3.7.2-2
poppler 25.12.0-1
poppler-data 0.4.12-2
poppler-glib 25.12.0-1
poppler-qt6 25.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.8-1
portsmf 234-3
postgresql-libs 18.1-1
potrace 1.16-4
powerdevil 6.5.4-1
ppp 2.5.2-1
pps-tools 1.0.3-2
prison 6.21.0-1
procps-ng 4.0.5-3
progress 0.17-1
protobuf 33.1-1
protobuf-c 1.5.2-8
protontricks 1.13.1-2
protonup-qt 2.14.0-1
prrte 3.0.12-1
psmisc 23.7-1
ptex 2.5.1-1
publicsuffix-list 20240306.1440.9094af5-1
pugixml 1.15-2
pybind11 3.0.1-1
pyside6 6.10.1-1
pystring 1.1.4-2
python 3.13.11-1
python-aioquic 1.2.0-2
python-annotated-doc 0.0.4-1
python-annotated-types 0.7.0-2
python-anyio 4.12.0-1
python-argcomplete 3.6.2-1
python-argon2-cffi 25.1.0-1
python-argon2-cffi-bindings 25.1.0-1
python-asgiref 3.10.0-4
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-bcrypt 5.0.0-1
python-beautifulsoup4 4.14.3-1
python-binaryornot 0.4.4-11
python-black 25.12.0-1
python-blinker 1.9.0-3
python-boolean.py 5.0-1
python-brotli 1.1.0-3
python-build 1.3.0-1
python-cachetools 6.2.2-1
python-cairo 1.29.0-1
python-certifi 2025.11.12-1
python-cffi 2.0.0-1
python-chardet 5.2.0-6
python-charset-normalizer 3.4.4-1
python-click 8.2.1-1
python-colorlog 6.9.0-1
python-configobj 5.0.9-5
python-contourpy 1.3.3-1
python-coverage 7.13.0-1
python-crcmod 1.7-8
python-cryptography 46.0.3-1
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-debian 1.0.1-1
python-dirty-equals 0.11.0-1
python-distlib 0.4.0-1
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-docutils 1:0.22.3-1
python-dotenv 1.2.1-1
python-dulwich 0.24.10-1
python-editables 0.5-5
python-evdev 1.9.2-1
python-fastapi 0.128.0-1
python-fastbencode 0.3.7-1
python-fasteners 0.20-1
python-fastjsonschema 2.21.2-1
python-filelock 3.20.0-2
python-flask 3.1.2-1
python-fluidity 0.2.1-6
python-fonttools 4.61.1-1
python-gitdb 1:4.0.12-1
python-gitpython 3.1.46-1
python-gobject 3.54.5-1
python-h11 0.16.0-1
python-h2 4.3.0-1
python-hatchling 1.28.0-1
python-hidapi 0.14.0-4
python-hpack 4.1.0-1
python-html5lib 1.1-15
python-httptools 0.7.1-1
python-hyperframe 6.1.0-1
python-i686-bin 3.11.8-6
python-idna 3.11-1
python-imageio 2.37.2-1
python-imageio-ffmpeg 0.6.0-2
python-importlib-metadata 8.7.1-1
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-inputs 0.5-4
python-installer 0.7.0-10
python-invoke 2.2.1-1
python-itsdangerous 2.2.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jinja 1:3.1.6-1
python-kaitaistruct 0.11-1
python-kiwisolver 1.4.7-1
python-lark-parser 1.3.1-1
python-ldap3 2.9.1-8
python-legacy-cgi 2.6.4-1
python-lexicon 3.0.0-1
python-license-expression 30.4.4-1
python-lxml 6.0.2-1
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.8-1
python-merge3 0.0.16-1
python-mitmproxy-rs 0.12.8-1
python-moddb 0.14.0-1
python-more-itertools 10.8.0-1
python-msgpack 1.1.2-1
python-mypy_extensions 1.1.0-1
python-netifaces 0.11.0-7
python-nose 1.3.7-18
python-notify2 0.3.1-11
python-numpy 2.4.0-1
python-opengl 3.1.10-2
python-ordered-set 4.1.0-7
python-packaging 25.0-1
python-paramiko 4.0.0-1
python-passlib 1.7.4-10
python-pathspec 0.12.1-3
python-patiencediff 0.2.18-1
python-pexpect 4.9.0-4
python-pillow 12.1.0-1
python-pip 25.3-1
python-pipx 1.8.0-1
python-pivy 1:0.6.10-2
python-platformdirs 4.5.1-1
python-pluggy 1.6.0-1
python-ply 3.11-15
python-poetry-core 2.2.1-1
python-protobuf 33.1-1
python-psutil 7.1.3-1
python-ptyprocess 0.7.0-8
python-publicsuffix2 2.20191221-9
python-pyaml 24.12.0-1
python-pyasn1 0.6.1-1
python-pyasn1-modules 0.4.2-1
python-pycparser 2.23-1
python-pycryptodomex 3.23.0-1
python-pydantic 2.12.5-1
python-pydantic-core 3:2.41.5-1
python-pydantic-extra-types 2.10.6-1
python-pydantic-settings 2.12.0-1
python-pygments 2.19.2-1
python-pylsqpack 0.3.18-3
python-pynacl 1.6.1-1
python-pyopenssl 25.3.0-1
python-pyparsing 3.3.1-1
python-pyparted 3.13.0-5
python-pyperclip 1.11.0-1
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-3
python-pyqt5-sip 12.17.2-1
python-pyserial 3.5-7
python-pytest 1:8.4.2-1
python-pytokens 0.3.0-1
python-pytz 2025.2-1
python-pyudev 0.24.3-2
python-pyusb 1.3.1-1
python-pywal 3.3.0-10
python-pyxdg 0.28-4
python-requests 2.32.5-1
python-resolvelib 1.2.1-1
python-ruamel-yaml 0.18.10-1
python-ruamel.yaml.clib 0.2.15-1
python-screeninfo 0.8.1-2
python-service-identity 24.2.0-2
python-setproctitle 1.3.7-1
python-setuptools 1:80.9.0-2
python-setuptools-scm 9.2.2-1
python-six 1.17.0-1
python-smmap 1:6.0.0-2
python-sniffio 1.3.1-4
python-sortedcontainers 2.4.0-7
python-soupsieve 2.8.1-1
python-starlette 0.50.0-3
python-steam 1.6.1-1
python-stevedore 5.4.0-1
python-tomli 2.2.1-1
python-tomlkit 0.13.3-1
python-tornado 6.5.2-1
python-tqdm 4.67.1-3
python-trove-classifiers 2025.12.1.14-1
python-typeguard 4.4.4-1
python-typing-inspection 0.4.2-1
python-typing_extensions 4.15.0-1
python-tzlocal 1:5.3.1-1
python-urllib3 2.6.2-1
python-urwid 3.0.4-3
python-userpath 1.9.2-3
python-uvloop 0.22.1-1
python-validate-pyproject 0.24.1-1
python-vdf 4.0-2
python-virtualenv 20.35.4-1
python-virtualenv-clone 0.5.7-6
python-virtualenvwrapper 6.1.1-1
python-wcwidth 0.2.14-1
python-webencodings 0.5.1-12
python-websockets 15.0.1-1
python-werkzeug 3.1.3-1
python-wheel 0.45.1-1
python-wsproto 1.2.0-6
python-xlib 0.33-4
python-xmltodict 1.0.2-1
python-yaml 6.0.3-1
python-zipp 3.21.0-2
python-zstandard 0.25.0-1
python310-debug 3.10.14-2
qbittorrent 5.1.4-1
qca-qt5 2.3.10-4
qca-qt6 2.3.10-4
qcoro 0.12.0-1
qcustomplot 2.1.1-1
qemu-audio-alsa 10.1.2-3
qemu-audio-dbus 10.1.2-3
qemu-audio-jack 10.1.2-3
qemu-audio-oss 10.1.2-3
qemu-audio-pa 10.1.2-3
qemu-audio-pipewire 10.1.2-3
qemu-audio-sdl 10.1.2-3
qemu-audio-spice 10.1.2-3
qemu-base 10.1.2-3
qemu-block-curl 10.1.2-3
qemu-block-dmg 10.1.2-3
qemu-block-gluster 10.1.2-3
qemu-block-iscsi 10.1.2-3
qemu-block-nfs 10.1.2-3
qemu-block-ssh 10.1.2-3
qemu-chardev-baum 10.1.2-3
qemu-chardev-spice 10.1.2-3
qemu-common 10.1.2-3
qemu-desktop 10.1.2-3
qemu-docs 10.1.2-3
qemu-emulators-full 10.1.2-3
qemu-full 10.1.2-3
qemu-hw-display-qxl 10.1.2-3
qemu-hw-display-virtio-gpu 10.1.2-3
qemu-hw-display-virtio-gpu-gl 10.1.2-3
qemu-hw-display-virtio-gpu-pci 10.1.2-3
qemu-hw-display-virtio-gpu-pci-gl 10.1.2-3
qemu-hw-display-virtio-gpu-pci-rutabaga 10.1.2-3
qemu-hw-display-virtio-gpu-rutabaga 10.1.2-3
qemu-hw-display-virtio-vga 10.1.2-3
qemu-hw-display-virtio-vga-gl 10.1.2-3
qemu-hw-display-virtio-vga-rutabaga 10.1.2-3
qemu-hw-s390x-virtio-gpu-ccw 10.1.2-3
qemu-hw-uefi-vars 10.1.2-3
qemu-hw-usb-host 10.1.2-3
qemu-hw-usb-redirect 10.1.2-3
qemu-hw-usb-smartcard 10.1.2-3
qemu-img 10.1.2-3
qemu-pr-helper 10.1.2-3
qemu-system-aarch64 10.1.2-3
qemu-system-alpha 10.1.2-3
qemu-system-alpha-firmware 10.1.2-3
qemu-system-arm 10.1.2-3
qemu-system-arm-firmware 10.1.2-3
qemu-system-avr 10.1.2-3
qemu-system-hppa 10.1.2-3
qemu-system-hppa-firmware 10.1.2-3
qemu-system-loongarch64 10.1.2-3
qemu-system-m68k 10.1.2-3
qemu-system-microblaze 10.1.2-3
qemu-system-microblaze-firmware 10.1.2-3
qemu-system-mips 10.1.2-3
qemu-system-or1k 10.1.2-3
qemu-system-ppc 10.1.2-3
qemu-system-ppc-firmware 10.1.2-3
qemu-system-riscv 10.1.2-3
qemu-system-riscv-firmware 10.1.2-3
qemu-system-rx 10.1.2-3
qemu-system-s390x 10.1.2-3
qemu-system-s390x-firmware 10.1.2-3
qemu-system-sh4 10.1.2-3
qemu-system-sparc 10.1.2-3
qemu-system-sparc-firmware 10.1.2-3
qemu-system-tricore 10.1.2-3
qemu-system-x86 10.1.2-3
qemu-system-x86-firmware 10.1.2-3
qemu-system-xtensa 10.1.2-3
qemu-tests 10.1.2-3
