7zip 25.01-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.0.rc.r53.gf4a2d32-1
egl-x11 1.0.4-1
eglexternalplatform 1.2.1-1
electron36 36.9.3-1
electron39-bin 39.2.7-1
ell 0.81-1
embree 4.4.0-1
enchant 2.8.14-1
entr 5.7-1
espeak-debug 1:1.48.04-4
etckeeper 1.18.23-1
ethtool 1:6.15-1
ettercap 0.8.3.1-3
evhz-git r30.b59b2d7-1
evolution-data-server 3.58.2-2
exempi 2.6.6-2
exiv2 0.28.7-1
exo 4.20.0-2
expac 10-12
expat 2.7.3-1
expect 5.45.4-5
extra-cmake-modules 6.21.0-1
eza 0.23.4-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.56.1-2
faudio 26.01-1
faudio-debug 24.10-1
feh 3.11.2-2
ffmpeg 2:8.0.1-2
ffmpeg4.4 4.4.6-3
ffmpegthumbs 25.12.0-1
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 146.0.1-1
fish 4.3.2-1
flac 1.5.0-1
flameshot 13.3.0-2
flashrom 1.6.0-1
flatpak 1:1.16.2-1
flex 2.6.4-5
fluidsynth 2.5.1-1
fmt 12.1.0-1
fontconfig 2:2.17.1-1
fontforge 20251009-4
foomatic-db-engine 5:20200131-2
fortune-mod 3.24.0-1
frameworkintegration 6.21.0-1
freecad 1.0.2-7
freeglut 3.8.0-1
freeimage 3.18.0-23
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fwupd 2.0.19-1
fwupd-efi 1.8-1
fzf 0.67.0-2
gamemode 1.8.2-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gconf 3.2.6+11+g07808097-15
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.1-1
gdb-common 17.1-1
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gdm 49.2-1
geany 2.1-2
gegl 0.4.66-1
gendesk 1.0.10-1
geoclue 2.8.0-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
geoip 1.6.12-3
geoip-database 20250129-1
gettext 0.26-1
gexiv2 0.16.0-1
gfxstream 0.1.2-2
ghc-libs 9.6.6-1
ghidra-git-bin 11.4-7
ghostscript 10.06.0-1
giflib 5.2.2-2
gimp 3.0.6-2
git 2.52.0-2
gjs 2:1.86.0-1
gl2ps 1.4.2-3
glaze 6.5.1-1
glew 2.2.0-7
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.86.3-1
glib2-devel 2.86.3-1
glib2-docs 2.86.3-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.3-1
glow 2.1.1-1
glslang 1:1.4.335.0-1
glu 9.0.3-2
glusterfs 1:11.2-1
glycin 2.0.7-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-calculator 49.2-1
gnome-clocks 49.0-1
gnome-common 3.18.0-5
gnome-desktop 1:44.4-1
gnome-desktop-4 1:44.4-1
gnome-desktop-common 1:44.4-1
gnome-keyring 1:48.0-1
gnome-screenshot 1:41.0-1
gnome-session 49.2-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.2-1
gnome-themes-extra 1:3.28-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.11-2
go 2:1.25.5-1
go-tools 4:0.40.0-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
